2025-03-24 18:13:14,257 - root - INFO - Logging system initialized
2025-03-24 18:13:14,258 - utils.process_manager - INFO - ProcessManager initialized
2025-03-24 18:13:16,119 - utils.ai_manager - INFO - AI models initialized successfully
2025-03-24 18:14:13,687 - root - INFO - Logging system initialized
2025-03-24 18:14:13,688 - utils.process_manager - INFO - ProcessManager initialized
2025-03-24 18:14:14,881 - utils.ai_manager - INFO - AI models initialized successfully
2025-03-24 18:14:22,149 - utils.process_manager - WARNING - Error getting process info for PID 0: (87, 'OpenProcess', 'The parameter is incorrect.')
2025-03-24 18:14:22,150 - utils.process_manager - WARNING - Error getting process info for PID 4: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,150 - utils.process_manager - WARNING - Error getting process info for PID 188: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,150 - utils.process_manager - WARNING - Error getting process info for PID 232: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,151 - utils.process_manager - WARNING - Error getting process info for PID 760: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,151 - utils.process_manager - WARNING - Error getting process info for PID 940: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,151 - utils.process_manager - WARNING - Error getting process info for PID 1084: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,151 - utils.process_manager - WARNING - Error getting process info for PID 1232: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,151 - utils.process_manager - WARNING - Error getting process info for PID 1240: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,152 - utils.process_manager - WARNING - Error getting process info for PID 1308: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,159 - utils.process_manager - WARNING - Error getting process info for PID 1376: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,160 - utils.process_manager - WARNING - Error getting process info for PID 1384: (5, 'OpenProcess', 'Access is denied.')
